bfs_nummer,gemeinde,total_area,score_sum,mean_score
4007,Hirschthal,1217528.530,4663098.085,3.830
4871,Wagenhausen,3452963.157,13223914.902,3.830
496,Ins,3585710.430,13728947.596,3.829
6619,Corsier (GE),2464006.670,9431232.588,3.828
96,Regensdorf,7211397.541,27601379.913,3.827
193,Fällanden,4561678.921,17456877.554,3.827
2125,Bulle,8546146.864,32702173.578,3.827
192,Egg,7183640.094,27485132.714,3.826
6153,Monthey,7174831.048,27440018.503,3.824
250,Urdorf,4409789.012,16850003.757,3.821
118,Rüti (ZH),4546432.970,17353906.562,3.817
4037,Oberrohrdorf,1696495.845,6468246.206,3.813
5581,Belmont-sur-Lausanne,1657768.514,6318138.111,3.811
5401,Aigle,7688312.535,29299256.775,3.811
700,Moutier,3595073.762,13700354.931,3.811
544,Moosseedorf,1883785.645,7176689.100,3.810
198,Uster,15255102.038,58068089.879,3.806
1201,Altdorf (UR),5687161.315,21646703.977,3.806
4062,Berikon,2343272.788,8906539.951,3.801
3001,Herisau,10544027.281,40070427.711,3.800
4252,Kaiseraugst,2158607.185,8200908.283,3.799
4210,Staufen,626357.465,2379036.012,3.798
5805,Oron,7446176.125,28265256.939,3.796
5254,Mendrisio,11241559.249,42669627.320,3.796
2517,Derendingen,3607343.309,13692293.778,3.796
160,Zumikon,3634296.364,13789923.099,3.794
1322,Freienbach,10429574.965,39567139.891,3.794
4271,Aarburg,3254308.882,12340769.779,3.792
3374,Lichtensteig,1075139.006,4070732.542,3.786
4003,Buchs (AG),2893786.117,10952346.795,3.785
1702,Cham,9651637.707,36514009.876,3.783
4140,Oberkulm,2427326.744,9180025.123,3.782
3315,Schänis,3882717.685,14668069.462,3.778
5521,Etagnières,2143039.083,8093142.887,3.776
4061,Arni (AG),2052835.401,7751434.859,3.776
6632,Perly-Certoux,1876757.996,7073721.122,3.769
5187,Gravesano,670224.388,2523500.133,3.765
751,Täuffelen,2719551.632,10234888.493,3.763
4141,Reinach (AG),2911183.477,10954414.590,3.763
358,Stettlen,2272383.926,8540364.709,3.758
750,Sutz-Lattrigen,2614781.957,9826375.572,3.758
870,Kehrsatz,2546019.012,9566817.178,3.758
199,Volketswil,6856350.402,25754211.975,3.756
3442,Gaiserwald,6108709.000,22939209.124,3.755
4309,Klingnau,2167167.905,8136953.586,3.755
352,Bolligen,4073355.935,15287087.881,3.753
3,Bonstetten,3142944.559,11794044.433,3.753
2583,Schönenwerd,2376600.116,8917335.167,3.752
4063,Bremgarten (AG),4677318.532,17537158.958,3.749
5001,Arbedo-Castione,2940491.123,11022024.240,3.748
4566,Frauenfeld,13588075.116,50926969.341,3.748
5592,Romanel-sur-Lausanne,1700675.285,6373862.483,3.748
5585,Jouxtens-Mézery,1436857.291,5384198.154,3.747
3023,Speicher,4172209.373,15628525.201,3.746
56,Embrach,4392966.118,16452699.601,3.745
4006,Gränichen,5141138.142,19254033.593,3.745
2096,Romont (FR),3320973.929,12437215.315,3.745
5749,Chavornay,3717153.937,13914436.191,3.743
594,Wilderswil,2473720.182,9258767.739,3.743
934,Oberhofen am Thunersee,1105422.346,4136297.957,3.742
1321,Feusisberg,5399157.557,20199596.522,3.741
4022,Bellikon,1617527.964,6049980.942,3.740
2500,Trimbach,2997192.510,11208335.529,3.740
5648,Saint-Sulpice (VD),2641363.957,9866352.024,3.735
2197,Givisiez,3054504.033,11405752.396,3.734
768,Spiez,8867756.814,33105020.636,3.733
1051,Adligenswil,4426167.046,16522341.645,3.733
5720,Givrins,1355218.213,5058312.963,3.732
3236,St. Margrethen,3430350.387,12795804.957,3.730
3101,Appenzell,3114042.759,11612977.028,3.729
733,Brügg,3420071.219,12727777.952,3.721
154,Küsnacht (ZH),6345361.497,23596712.003,3.719
4073,Oberlunkhofen,2422530.584,9004356.260,3.717
6416,Milvignes,5381119.470,19994650.045,3.716
4048,Würenlos,4565509.480,16963764.567,3.716
293,Wädenswil,12454673.405,46249654.159,3.713
3271,Buchs (SG),5056208.435,18774370.149,3.713
4163,Frick,3260894.487,12104583.228,3.712
5606,Lutry,6317025.614,23423375.757,3.708
1701,Baar,12368025.643,45855542.035,3.708
5141,Agno,2726845.965,10107442.666,3.707
2,Affoltern am Albis,4447806.259,16482640.256,3.706
3790,Silvaplana,5158170.411,19108634.020,3.705
6602,Anières,4265557.709,15786872.444,3.701
4146,Unterkulm,2776089.704,10274085.922,3.701
551,Urtenen-Schönbühl,3057199.526,11308119.917,3.699
151,Erlenbach (ZH),2069109.149,7650802.498,3.698
139,Rüschlikon,2628341.539,9713024.172,3.695
115,Gossau (ZH),7288273.402,26930153.941,3.695
5108,Gordola,2317004.596,8558314.076,3.694
5194,Manno,1552178.805,5727796.988,3.690
9051,Zürichsee (ZH),14817983.886,54678503.170,3.690
1065,Root,4710306.032,17379897.913,3.690
5408,Noville,2316598.774,8547171.516,3.690
3216,Rorschacherberg,2663629.449,9816562.046,3.685
3781,Bever,1158478.555,4269422.122,3.685
5002,Bellinzona,23589840.118,86912567.607,3.684
3379,Wattwil,7672182.592,28263608.715,3.684
406,Hasle bei Burgdorf,2515541.470,9265618.787,3.683
251,Weiningen (ZH),2681880.013,9874262.056,3.682
200,Wangen-Brüttisellen,3665836.990,13485027.768,3.679
5757,Orbe,3449087.990,12683628.022,3.677
5171,Caslano,1295811.111,4764210.762,3.677
2309,Wünnewil-Flamatt,2906105.220,10681234.825,3.675
794,Zweisimmen,4097566.303,15055673.289,3.674
4135,Gontenschwil,1778422.190,6528542.615,3.671
2323,Bossonnens,1415528.555,5196129.642,3.671
6002,Brig-Glis,5977946.577,21939940.618,3.670
4010,Oberentfelden,2476672.345,9089107.544,3.670
2473,Dornach,2302075.372,8447998.868,3.670
5186,Grancia,588083.269,2156454.880,3.667
4204,Niederlenz,1635934.248,5996536.220,3.666
3668,Thusis,1620700.209,5936401.020,3.663
7002,Triesen,4679509.042,17139420.422,3.663
1053,Dierikon,1216535.871,4455272.350,3.662
5212,Ponte Capriasca,980629.083,3591027.166,3.662
3953,Maienfeld,1849045.744,6766511.944,3.659
5582,Cheseaux-sur-Lausanne,2133632.369,7806058.529,3.659
27,Feuerthalen,2007658.957,7342334.239,3.657
616,Münsingen,5029502.960,18380471.853,3.655
4081,Widen,1907211.725,6965963.558,3.652
52,Bassersdorf,4820253.502,17605575.152,3.652
1040,Rothenburg,6367402.849,23251147.577,3.652
3232,Balgach,2452412.830,8955178.402,3.652
6220,Vérossaz,988830.210,3610246.298,3.651
6408,Cortaillod,2352447.247,8588589.937,3.651
2764,Biel-Benken,2475938.666,9037572.467,3.650
1055,Gisikon,668658.335,2440017.129,3.649
5115,Losone,3213605.110,11724861.231,3.649
2271,Meyriez,577327.147,2105855.331,3.648
1202,Andermatt,4279701.342,15602078.407,3.646
296,Illnau-Effretikon,7782662.898,28372427.145,3.646
3231,Au (SG),2326629.024,8481708.327,3.645
5148,Bedano,1347156.590,4908860.292,3.644
6729,Haute-Sorne,5185900.980,18894770.810,3.643
5176,Comano,1396584.356,5087838.294,3.643
4144,Schöftland,2939202.452,10706747.702,3.643
9155,Lac de Neuchâtel (NE),6760719.137,24614095.058,3.641
1052,Buchrain,3216571.234,11699566.465,3.637
2573,Dulliken,2186685.194,7950661.175,3.636
2702,Bettingen,1760202.497,6399749.727,3.636
3339,Uznach,4406238.452,16014686.020,3.635
4145,Teufenthal (AG),1287352.378,4677789.061,3.634
742,Mörigen,1695265.672,6153087.342,3.630
195,Maur,7684254.120,27856207.824,3.625
4008,Küttigen,4851808.534,17580493.090,3.623
5851,Allaman,1110356.558,4021946.843,3.622
1058,Horw,7097237.262,25702876.573,3.622
3204,Wittenbach,4235631.035,15336337.095,3.621
3787,St. Moritz,7431144.396,26900010.183,3.620
1364,Ingenbohl,6405648.891,23185684.724,3.620
3722,Domat/Ems,5516114.444,19960179.541,3.619
4280,Oftringen,4988289.899,18045314.783,3.618
7003,Balzers,4923318.641,17804567.842,3.616
4786,Wilen (TG),1007805.937,3640896.160,3.613
5718,Genolier,2532171.305,9140587.864,3.610
5723,Mies,1761979.159,6356656.035,3.608
5,Hedingen,1715987.498,6188861.431,3.607
2513,Biberist,4713915.640,16991513.382,3.605
6295,Täsch,1722075.446,6207125.273,3.604
4033,Mellingen,3123380.393,11254296.863,3.603
3024,Teufen (AR),7310428.242,26332088.345,3.602
1346,Schübelbach,5097755.908,18355950.644,3.601
3025,Trogen,2259002.786,8134138.901,3.601
5414,Villeneuve (VD),3146997.770,11329892.527,3.600
5091,Ascona,2592199.775,9331811.558,3.600
2471,Bättwil,1024369.957,3684896.930,3.597
6800,Porrentruy,4860772.056,17482469.702,3.597
5678,Moudon,2655800.397,9545427.671,3.594
4002,Biberstein,1491863.446,5361669.274,3.594
2846,Gelterkinden,2841491.495,10212143.337,3.594
1208,Göschenen,1760045.726,6321036.115,3.591
4147,Zetzwil,1335351.747,4795378.397,3.591
1709,Unterägeri,3452214.337,12396118.816,3.591
153,Hombrechtikon,4711218.317,16906425.397,3.589
4012,Suhr,3590705.499,12885286.167,3.589
6622,Genthod,3110183.663,11157364.597,3.587
